actual\predicted,background,building,road,water,barren,forest,agricultural
background,492298390,29389091,9062408,39521704,3817562,29916739,11244788
building,25247297,95848991,268365,213588,209057,540555,477938
road,27507993,1179411,48486721,232468,443939,1248334,491634
water,33011069,191772,200668,156950585,871653,3574741,4767328
barren,39119270,902531,439752,1624099,21429897,559940,10307644
forest,44761689,401650,384226,710316,200952,74061645,5095169
agricultural,151255098,4518645,4901869,51901366,3230196,16928417,254347111
